,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
113,LDST_250430-0030_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:18:21.87,,2460796.554419792
25,LDST_250430-0031_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:19:27.51,,2460796.555179514
2,LDST_250430-0031_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:20:31.87,,2460796.555924421
224,LDST_250430-0031_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:21:36.34,,2460796.556670602
220,LDST_250430-0031_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:22:40.74,,2460796.5574159725
160,LDST_250430-0032_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:23:46.29,,2460796.558174653
145,LDST_250430-0032_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:24:50.62,,2460796.558919213
257,LDST_250430-0032_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:25:55.00,,2460796.559664352
16,LDST_250430-0032_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:26:59.25,,2460796.560407986
127,LDST_250430-0033_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:28:04.85,,2460796.5611672453
100,LDST_250430-0033_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:29:09.24,,2460796.5619125
291,LDST_250430-0033_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:30:13.40,,2460796.5626550927
