,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
124,124.0,124.0,124.0,83.0,LDST_250430-0007_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:11:00.48,,2460796.382644444
125,125.0,125.0,125.0,512.0,registered_M82_G*_205.fits,M82,G*,REGISTERED,2025-04-30T21:12:04.89,,2460796.3833899307
126,126.0,126.0,126.0,122.0,LDST_250430-0007_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:12:04.89,,2460796.3833899307
127,127.0,127.0,127.0,226.0,reduced_M82_G*_71.fits,M82,G*,REDUCED,2025-04-30T21:12:04.89,,2460796.3833899307
128,128.0,128.0,128.0,252.0,registered_M82_B*_206.fits,M82,B*,REGISTERED,2025-04-30T21:13:09.29,,2460796.3841353008
129,129.0,129.0,129.0,151.0,reduced_M82_B*_72.fits,M82,B*,REDUCED,2025-04-30T21:13:09.29,,2460796.3841353008
130,130.0,130.0,130.0,289.0,LDST_250430-0007_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:13:09.29,,2460796.3841353008
131,131.0,131.0,131.0,287.0,LDST_250430-0007_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:14:13.54,,2460796.384878936
132,132.0,132.0,132.0,485.0,reduced_M82_H_alpha_73.fits,M82,H_alpha,REDUCED,2025-04-30T21:14:13.54,,2460796.384878936
133,133.0,133.0,133.0,500.0,registered_M82_H_alpha_207.fits,M82,H_alpha,REGISTERED,2025-04-30T21:14:13.54,,2460796.384878936
134,134.0,134.0,134.0,404.0,reduced_M82_R*_74.fits,M82,R*,REDUCED,2025-04-30T21:15:19.37,,2460796.3856408563
135,135.0,135.0,135.0,140.0,LDST_250430-0008_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:15:19.37,,2460796.3856408563
136,136.0,136.0,136.0,36.0,registered_M82_R*_208.fits,M82,R*,REGISTERED,2025-04-30T21:15:19.37,,2460796.3856408563
137,137.0,137.0,137.0,178.0,LDST_250430-0008_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:16:23.67,,2460796.386385069
138,138.0,138.0,138.0,266.0,reduced_M82_G*_75.fits,M82,G*,REDUCED,2025-04-30T21:16:23.67,,2460796.386385069
139,139.0,139.0,139.0,417.0,registered_M82_G*_209.fits,M82,G*,REGISTERED,2025-04-30T21:16:23.67,,2460796.386385069
140,140.0,140.0,140.0,278.0,registered_M82_B*_210.fits,M82,B*,REGISTERED,2025-04-30T21:17:28.02,,2460796.387129861
141,141.0,141.0,141.0,488.0,LDST_250430-0008_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:17:28.02,,2460796.387129861
142,142.0,142.0,142.0,177.0,reduced_M82_B*_76.fits,M82,B*,REDUCED,2025-04-30T21:17:28.02,,2460796.387129861
143,143.0,143.0,143.0,522.0,reduced_M82_H_alpha_77.fits,M82,H_alpha,REDUCED,2025-04-30T21:18:32.21,,2460796.3878728007
144,144.0,144.0,144.0,4.0,registered_M82_H_alpha_211.fits,M82,H_alpha,REGISTERED,2025-04-30T21:18:32.21,,2460796.3878728007
